split,held_group,profile_id,waveform_id,simulation_seed,fixed_package_3_candidates,fixed_package_3_cost,fixed_package_3_regret,fixed_package_3_evm_pct,fixed_package_3_aclr_db,knn_seed,knn_seed_candidates,knn_seed_cost,knn_seed_regret,knn_seed_evm_pct,knn_seed_aclr_db,unconditional_local_candidates,unconditional_local_final_cost,unconditional_local_regret,unconditional_local_evm_pct,unconditional_local_aclr_db,best_seed,best_final_cost,predicted_regret,predicted_uncertainty,nearest_feature_distance_ppm,safe_neighbor_count,safety_neighbor_count,regret_budget,action,gated_candidates,gated_final_cost,gated_regret,gated_evm_pct,gated_aclr_db,direct_actual_regret,direct_validation_ok
profile,memory_short,memory_short,qam64_bw20_bo058,53,1,29056.4771899543,15.41696392400263,7.94863476226339,-138.134571978982,2,1,29093.724482808,52.66425677770167,7.94968507953845,-138.138420847182,14,29112.8741703136,71.81394428330168,7.93861077328434,-138.282552327214,1,29041.0602260303,84,2,287707,0,5,100,local_search,14,29112.8741703136,71.81394428330168,7.93861077328434,-138.282552327214,52.66425677770167,1
profile,memory_short,memory_short,qam64_bw20_bo058,67,1,29715.4999001741,22.45476030589998,7.77801163914941,-142.919081019561,2,1,29784.8054280265,91.76028815829704,7.77980096136728,-142.922328466698,14,29785.9006471034,92.85550723519918,7.78276272257957,-142.689143258005,1,29693.0451398682,0,0,711874,1,5,100,local_search,14,29785.9006471034,92.85550723519918,7.78276272257957,-142.689143258005,91.76028815829704,1
profile,memory_short,memory_short,qam64_bw20_bo070,41,1,39533.6836502974,1062.2995256237991,7.6913973793545,-135.372908481026,5,1,39238.3099404219,766.9258157483055,7.68010466807336,-135.371024815612,14,38471.3841246736,0.0,7.64344981554535,-135.232151322739,5,38471.3841246736,512,48,327194,0,5,100,local_search,14,38471.3841246736,0.0,7.64344981554535,-135.232151322739,766.9258157483055,1
profile,memory_short,memory_short,qam64_bw20_bo070,53,1,31909.2647502246,276.50939034199837,8.01504945477412,-138.172023841504,5,1,31748.1073801261,115.35202024349928,8.01112036195427,-138.170412800424,14,31632.7553598826,0.0,7.9966674649853,-138.309927820164,5,31632.7553598826,10,13,300697,0,5,100,local_search,14,31632.7553598826,0.0,7.9966674649853,-138.309927820164,115.35202024349928,1
profile,memory_short,memory_short,qam64_bw20_bo070,67,1,41234.3554047323,831.9248207363999,8.13098777729679,-143.133581285707,5,1,40900.0744883165,497.64390432060463,8.11910984297622,-143.127169725025,14,40402.4305839959,0.0,8.10152553516063,-142.890641296418,5,40402.4305839959,276,7,293839,0,5,100,local_search,14,40402.4305839959,0.0,8.10152553516063,-142.890641296418,497.64390432060463,1
profile,memory_short,memory_short,qam64_bw40_bo058,41,1,27925.9684782546,80.93519459190065,4.906556733399,-150.239611585264,2,1,27999.2776747982,154.24439113550034,4.90967056248101,-150.23816762825,14,27950.6404006106,105.60711694790007,4.90544946926509,-150.228106190091,5,27845.0332836627,1,1,295948,5,5,100,direct,1,27999.2776747982,154.24439113550034,4.90967056248101,-150.23816762825,154.24439113550034,0
profile,memory_short,memory_short,qam64_bw40_bo058,53,1,28339.7848942995,133.7803557754014,5.62161583572193,-148.170136911979,2,1,28401.3276784495,195.32313992540003,5.62403338011183,-148.169704151612,14,28292.5963031776,86.59176465350174,5.61975013739319,-148.105754712686,5,28206.0045385241,24,2,271269,5,5,100,direct,1,28401.3276784495,195.32313992540003,5.62403338011183,-148.169704151612,195.32313992540003,0
profile,memory_short,memory_short,qam64_bw40_bo058,67,1,26880.3845742425,19.892895888799103,5.47725780409399,-151.487446007902,2,1,26935.0027245741,74.5110462203993,5.47909150278426,-151.490577922356,14,26936.0153009516,75.5236225978988,5.46856240182817,-151.516679906215,5,26860.4916783537,0,0,266276,5,5,100,direct,1,26935.0027245741,74.5110462203993,5.47909150278426,-151.490577922356,74.5110462203993,1
profile,memory_short,memory_short,qam64_bw40_bo070,41,1,39009.5076710984,560.6040375683006,5.42391099073967,-150.176285019536,5,1,38782.8930143871,333.98938085699774,5.41216280572443,-150.17749093129,14,38449.0906776136,0.18704408350458834,5.39120627632678,-150.168926082316,1,38448.9036335301,246,3,263389,0,5,100,local_search,14,38449.0906776136,0.18704408350458834,5.39120627632678,-150.168926082316,333.98938085699774,1
profile,memory_short,memory_short,qam64_bw40_bo070,53,1,33403.4468293074,509.5614108939044,5.82030306166191,-148.133849513879,5,1,33159.4037794452,265.51836103170353,5.81018247405195,-148.134620593607,14,32893.8854184135,0.0,5.79453303608119,-148.071911631968,5,32893.8854184135,155,50,306161,1,5,100,local_search,14,32893.8854184135,0.0,5.79453303608119,-148.071911631968,265.51836103170353,1
profile,memory_short,memory_short,qam64_bw40_bo070,67,1,30273.5082250466,454.7589675312993,5.59434560646874,-151.571426580441,5,1,30093.6213710392,274.8721135238993,5.58736736596376,-151.568104274656,14,29818.7492575153,0.0,5.56553662912837,-151.591406749688,5,29818.7492575153,137,9,263490,0,5,100,local_search,14,29818.7492575153,0.0,5.56553662912837,-151.591406749688,274.8721135238993,1
profile,noise_high,noise_high,qam16_bw20_bo058,41,1,53385.9670666445,1240.2492613370996,7.53337154425092,-134.844611254956,2,1,53378.4016836428,1232.683878335396,7.53304600217468,-134.84053101735,14,52145.881849975,0.16404466759559,7.43645725857446,-134.252944215418,4,52145.7178053074,687,1,1327830,0,5,100,local_search,14,52145.881849975,0.16404466759559,7.43645725857446,-134.252944215418,1232.683878335396,1
profile,noise_high,noise_high,qam16_bw20_bo058,53,1,54035.9714181541,576.5227191774975,8.60077100846155,-142.894159733864,2,1,54017.1757055661,557.7270065894991,8.60016451129596,-142.89504153407,14,53468.9743481074,9.5256491307955,8.50848491918322,-144.265492846558,5,53459.4486989766,452,12,641565,0,5,100,local_search,14,53468.9743481074,9.5256491307955,8.50848491918322,-144.265492846558,557.7270065894991,1
